Digi-Key_PN,Qty Per PCB
311-4165-1-ND,2
478-10518-1-ND,2
399-1138-1-ND,8
311-1136-1-ND,13
399-1166-1-ND,8
478-1395-1-ND,26
311-1365-1-ND,2
1276-2873-1-ND,1
399-10942-1-ND,1
445-11516-1-ND,2
490-10749-1-ND,1
SZMMSZ4684T1GOSCT-ND,9
BAT54SLT1GOSCT-ND,9
BYG23M-E3/TR3GICT-ND,4
475-2560-1-ND,12
475-1410-1-ND,1
475-1278-1-ND,2
475-2488-1-ND,2
NUP2105LT1GOSCT-ND,1
SMCJ20CABCT-ND,1
1727-2394-1-ND,5
490-1054-1-ND,1
1734-1131-ND,1
732-3203-ND,1
609-3695-1-ND,1
2073-USB4085-GF-ACT-ND,1
RMCF0805ZT0R00CT-ND,2
311-100CRCT-ND,3
311-560ARCT-ND,17
311-1.0KARCT-ND,1
311-1.20KCRCT-ND,8
311-1.50KCRCT-ND,2
311-4.70KCRCT-ND,43
311-10.0KCRDKR-ND,10
311-4.70KCRCT-ND,8
311-47.0KCRCT-ND,1
311-47.0FRCT-ND,8
CKN9084CT-ND,1
563-1022-1-ND,2
296-41185-1-ND,2
BTS70082EPAXUMA1CT-ND,4
BTS70021EPPXUMA1CT-ND,4
497-1241-1-ND,1
865-1261-1-ND,1
MCP2551T-I/SNCT-ND,1
MCP9808T-E/MSCT-ND,1
TLP175A(TPLECT-ND,1
568-9926-1-ND,1
568-1843-1-ND,2
568-4067-1-ND,1
497-13318-ND,1
102-VXO7805-500-M-CT-ND,1
W25Q32JVSSIQCT-ND,1
535-9808-1-ND,1
535-10630-1-ND,1
