"Reference","Value","Footprint","Digi-Key_PN","LCSC","Qty"
"C1, C2, C5, C9, C11-C13, C17, C21, C23, C27, C31","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","12"
"C3, C6","10uF","Capacitor_SMD:C_0805_2012Metric","445-11516-1-ND","C15850","2"
"C4","22uF","Capacitor_SMD:C_0805_2012Metric","490-10749-1-ND","C45783","1"
"C7, C8","27pF","Capacitor_SMD:C_0805_2012Metric","478-10518-1-ND","C1808","2"
"C14","4.7uF","Capacitor_SMD:C_0805_2012Metric","1276-2873-1-ND","C1779","1"
"C15, C19, C20, C24, C28","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","5"
"C16, C18","1uF","Capacitor_SMD:C_0805_2012Metric","311-1365-1-ND","C28323","2"
"C22, C26, C30","47nF","Capacitor_SMD:C_0805_2012Metric","399-1166-1-ND","C520039","3"
"C25, C29, C32","220pF","Capacitor_SMD:C_0805_2012Metric","399-1138-1-ND","C576920","3"
"D1, D9, D11, D12","3.3V","Diode_SMD:D_SOD-323_HandSoldering","1727-5150-1-ND","C177016","4"
"D2","SMCJ20CA","digikey-footprints:DO-214AB_TVS","SMCJ20CABCT-ND","C2760132","1"
"D3","GRN","LED_SMD:LED_0805_2012Metric","475-1410-1-ND","C2899888","1"
"D4","NUP2105LT1G","digikey-footprints:SOT-23-3","NUP2105LT1GOSCT-ND","C2976509","1"
"D5","RED","LED_SMD:LED_0805_2012Metric","475-1278-1-ND","C2899997","1"
"D6, D7","BAT54S","Package_TO_SOT_SMD:SOT-23","BAT54SLT1GOSCT-ND","C47546","2"
"D8, D10","BYG23M","digikey-footprints:DO-214AC","BYG23M-E3/TR3GICT-ND","C141573","2"
"FB1","Ferrite_Bead_Small","Resistor_SMD:R_0805_2012Metric","490-1054-1-ND","C85840","1"
"H1-H4","M3","MountingHole:MountingHole_3mm_Pad",,,"4"
"J1, J2","RedCubeTerminal","RedCube:M6_Hole_8Pin_7461084","732-3203-ND",,"2"
"J3","Conn_01x12","Deutsch_DT:DT15-12PA","1734-1027-ND",,"1"
"R1","47k","Resistor_SMD:R_0805_2012Metric","311-47.0KCRCT-ND","C327035","1"
"R2, R4, R6, R7","10k","Resistor_SMD:R_0805_2012Metric","311-10.0KCRDKR-ND","C17414","4"
"R3, R8","120R","Resistor_SMD:R_0805_2012Metric","311-120CRCT-ND","C229076","2"
"R5","1k","Resistor_SMD:R_0805_2012Metric","311-1.0KARCT-ND","C17513","1"
"R9, R10, R13, R14, R17-R20, R23, R24, R26-R29, R32-R37","4.7k","Resistor_SMD:R_0805_2012Metric","311-4.70KCRCT-ND","C17673","20"
"R11, R12, R15, R21, R25, R30","1.2k","Resistor_SMD:R_0805_2012Metric","311-1.20KCRCT-ND","C727987","6"
"R16, R22, R31","47R 1/4W","Resistor_SMD:R_1206_3216Metric","311-47.0FRCT-ND","C2907508","3"
"U1","VXO780x-500-M","CUI_Regulators:VXO78x-500-M","102-VXO7805-500-M-CT-ND",,"1"
"U2","LD1117S33CTR","digikey-footprints:SOT-223","497-1241-1-ND","C35879","1"
"U3","PCA82C250","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","568-10316-1-ND","C7439","1"
"U4","STM32F303CCTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","497-13318-ND","C81523","1"
"U5","MB85RC256V","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","865-1261-1-ND","C47538","1"
"U6","MCP9808","Package_SO:MSOP-8_3x3mm_P0.65mm","MCP9808T-E/MSCT-ND","C129490","1"
"U7","LM324","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","497-7330-1-ND","C7944","1"
"U8, U9","BTS700n-1EPP","Profet:TDSO-14","BTS70021EPPXUMA1CT-ND","C534824","2"
"U11","BTS7008-2EPA","Profet:TDSO-14","BTS70082EPAXUMA1CT-ND","C2150060","1"
"U12","BTS724G","Package_SO:Infineon_PG-DSO-20-32","BTS724GXUMA1CT-ND","C82656","1"
"Y1","8mHz","Crystals_Modify:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","535-10630-1-ND","C144380","1"
